Designator,Mid X,Mid Y,Rotation,Layer
SW1,28.9974,-31.20475,0.0,top
SW10,67.0974,-55.01725,0.0,top
SW11,67.0974,-74.06725,0.0,top
SW12,86.1474,-31.20475,0.0,top
SW13,86.1474,-55.01725,0.0,top
SW14,86.1474,-74.06725,0.0,top
SW15,105.1974,-31.20475,0.0,top
SW16,105.1974,-50.25475,0.0,top
SW17,105.1974,-69.30475,0.0,top
SW18,105.1974,-88.35475,0.0,top
SW19,95.6724,-107.40475,0.0,top
SW2,28.9974,-50.25475,0.0,top
SW20,75.324177,-113.475277,180.0,top
SW3,28.9974,-69.30475,0.0,top
SW4,28.9974,-88.35475,0.0,top
SW5,38.5224,-107.40475,0.0,top
SW6,48.0474,-31.20475,0.0,top
SW7,48.0474,-55.01725,0.0,top
SW8,48.0474,-74.06725,0.0,top
SW9,67.0974,-31.20475,0.0,top
